ID;Event;Status;Request_ID;Description;Customer;Due Date;Forecast Scope
129;Offer;Done;S.261551 - SE_GB_ESB_Carrickmines T141_REP_DBC_STL;"Please see attached the customer’s request mail (ESB, Jonathan Carpenter).

The transformer has never been in operation before. Following our meeting with the customer, it was agreed with the customer that the oil-to-oil bushings will be replaced with units from a manufacturer we are familiar with. In addition, it needs to be verified whether the links that were never installed can be used, or if new ones need to be designed.

During the repair, we will replace all three cable boxes, as well as the expansion conservtor of the cable boxes. I have also suggested replacing the piping, as corrosion may have developed over time if the transformer was never properly filled with oil.

Furthermore, I have recommended to the customer that the Buchholz relay should also be replaced.

For all these activities, I require your work time estimation. If there are any open questions,feel free to ask.";AT;30/06/26;"On-site Repair;#Replacement of bushings, shield-electrodes and CT's"
130;Order;In Progress;S.261467 - SE_US_Xfmr_Gaskets_hatch_SPA_YEY;"New BOM is reqiured. 
All gaskets from U20_04_167_DRW__MP should be added to new STK. 2U200443901 
All gaskets should be changed to FKM Material. NO NBR!!!

All doc in FABASOFT
";AT;30/06/26;Renovation of external parts (correction of leaks, dirt, oxidation and painting)
131;Offer;In Progress;S.261544 - TenneT_DE_PST_UMBAU_Kühlsystem_REP_MMA;"Die beiden PSTs in UW Diele (Ser. No; 1,726.622/3, wo.r: 66732/3 bzw. Ser. No; 1,726.624/5, wo.r: 66734/5)
aus den Baujahren 2006/7 sollen im Zuge der UW-Erweiterung um 2 weitere PSTs auf neue Fundamente
versetzt werden. Die Ausschreibung für die neuen PSTs läuft gerade.
D.h., die Bestands-PSTs sollen möglichst auf die identischen Fundamente wie die aktuellen PSTs für
Waldeck versetzt werden.
Da diese älteren PSTs mit ODAN -Kühlung und 2 Radiatorenbatterien je Kessel ausgeführt wurden, geht
diese Umsetzung nur mit dem Anbau von einer neuen, kleineren ODAF-Radiatorenbatterie.
Erschwerend kommt noch hinzu, dass bei diesen PST entgegen unserem neuen Standard die Kühler nicht auf der Schalterseite der Kessel angeschlossen sind.
Folgende Fragen habe ich hier aktuell:
- Sind die Blindflansche unten auf der Schalterseite mit den internen OD-Kanälen verbunden?
Könnte die Kaltölleitung neuer Kühler hier angeschlossen werden?

Könnte der Warmölanschluss mit vertretbaren Aufwand nach vorne auf die Schalterseite mittels
externen Rohrleitungen (möglichst nur eine je Kessel) neben/über dem Kesseldeckel verlegt werden?

Wäre es möglich die vorhandenen ODAN-Radiatorenbatterien durch die ODAF-Radiatorenbatterien
der aktuellen PSTs zu ersetzen?
Die Verlustleitung der Bestands-PSTs (0,340 MW + 2,13 MW=2,47 MW ) ist etwas kleiner als die
Verluste bei den aktuellen PSTs( 0,25 MW+2,45 MW=2,7 MW).
Könnte auch eine Pumpe PR300/6 die beiden aktuell installierten Pumpen PR250/6 ersetzen?
Eine PR300/6 in Kaltölleitung möglich?";AT;09/07/26;On-site Refurbishment
132;Offer;In Progress;SF 262543603 - Alliant Energy - TP499/500 TR Uprating;"Request Summary:
We request an estimate of engineering hours to perform an engineering assessment for transformer uprating of two (02) GSU units.
The intention is to prepare a customer offer covering only the engineering study and the final report.

Transformer Data

Quantity: 2 units
Type: Three-phase GSU Transformer
Rating: 150 / 200 / 250 MVA
Voltage: 142 / 18 kV
Cooling: ONAN / ONAF / ONAF
Tap Changer: DETC
OEM: Siemens Energy Mexico (legacy Ferranti Packard)

End Customer
Alliant Energy – Riverside Plant
Background
The customer is evaluating the possibility of uprating the current GSUs to support increased generation output (target up to 290 MVA).
Some pictures and limited documentation of the transformers in operation were provided.

Scope of Work:
Engineering assessment to evaluate the feasibility of uprating the two GSU transformers.
Expected Output (for reference only – not required at this stage)
Although not required in detail for this hours estimate, the engineering assessment is expected to include:

Thermal evaluation (top oil temperature extrapolation based on current and proposed losses) - Test Report Available.
Verification of current-carrying capacity of critical components (Bushings, CT's, DETC, etc)
Preliminary recommendations (e.g., cooling upgrades such as additional fans or fans replacements)
Transformer life expectancy impact under higher loading
Conceptual sketches (croquis) showing mainly modification.
Technical conclusion regarding uprating feasibility

Important Note
At this stage, we only require the estimated engineering hours to perform the assessment described above.

";RRC;10/06/26;Uprating
143;Order;Done;D581085_spareparts_Serial Number_Work Order;Preparation of a tender for spare parts;GER;02/07/26;On-site Refurbishment
144;Order;Done;D581030_Design of PRD pipe_Serial Number_Work Order;"Design of PRD pipe 

";GER;18/06/26;On-site Refurbishment
145;Order;Done;T.032N.261003_Replacement_bushings_for_WEZ_Trafo_WO_SN_6800416 / 1.801.210 _T.032N.261003;Replacement_bushings_for_WEZ_Trafo;RRL;15/06/26;"Replacement of bushings, shield-electrodes and CT's;#In-House Repair"
146;Offer;On Hold;Shuweihat_Tx power uprate;;GER;30/06/26;Uprating
147;Offer;In Progress;1018-2026_Winding supply for 40MVAr 500kV reactor from TUSA_8577544_PA A7B10000997582;Check possibility to supply a winding for 40MVAr 500kV reactor from TUSA. Winding to be delivered in a external tank to Argentina. Winding should be 1:1 replacement to existing one;RRL;10/06/26;Replacement of bushings, shield-electrodes and CT's
148;Offer;In Progress;Project Number_Alabama_Power-Farley:Sn1.732.682_1.732.682_66804;"Check of the statement sent to the customer by our US Colleague

emergency operation with the loss of one bank

thermal alarm and trip settings

impedance difference due to higher operation temperature of 1 unit


more information see in the attached mail
Instruction manual attached";AT;16/06/26;"Protection devices, wiring/cabling, cubicles, monitoring;#Temperature reduction"
149;Offer;In Progress;S.261582 - SE_US_T_12615_Jack_McDonough_SPA_YEY_S.261582 - SE_US_T_12615_Jack_McDonough_SPA_YEY_1690682 _WA66408;I need a list of gaskets. Order will come immediately after offer.;AT;26/06/26;Renovation of external parts (correction of leaks, dirt, oxidation and painting)
150;Offer;New;W-110438_Siemens SIMATIC panel quotation_N110438_Work Order;Could you please offer me a suitable solution with a new S7 unit?;GER;15/06/26;On-site Repair
151;Offer;Done;AM26_145stf_Tennet_UW_Diele_AbstSich_Design_support_Serial Number_Work Order;Absturzsicherung_an_einer_Spule_UW_Diele_nachrüsten;GER;16/06/26;"On-site Repair;#On-site Refurbishment"
152;Order;New;N730750-752 UW Niedervieland U3+U4+U7_Control cabinet replacement;"Two control cabinets need to be replaced at each of three transformers.
";GER;17/09/26;Protection devices, wiring/cabling, cubicles, monitoring
153;Order;New;S.261353 - SE_US_MCGraw_Ford_Geogia_Gask_P2_SPA_YEY_S.261353_SE_US_MCGraw_Ford_Geogia_Gask_P2_SPA_YEY_1718895_WA66662;Gasket list. ;AT;31/07/26;Renovation of external parts (correction of leaks, dirt, oxidation and painting)
154;Offer;Done;SF262553930_SF262553930_LCRA_33MVA_138kV_G359_Work Order;rebuild including new bushings, N2 system, gauges, and rewind;RRC;19/06/26;In-House Refurbishment
155;Offer;In Progress;AM26_135_Study and offer regarding power upgrade by improving the existing coolers _ replacemnt of 1 existing fan by 4 new smaller fans_N406146_Work Order;"step 1: study how much additional power can be transmitted
step 2: can the additional losses be managed by 4 smaller fans instead of the existing 1
or alternative with new coolers?
step 3: technical reply and offer";GER;14/08/26;On-site Refurbishment
156;Order;Done;D527216 -Documentation for Project completion;Adjuastment of documentation following FAT acceptance;GER;29/06/26;In-House Refurbishment
157;Order;Done;D580869 EV Halle TR101_Documentation after FAT_Serial Number_Work Order;;GER;30/06/26;On-site Refurbishment
158;Order;Done;D527191 EV Halle Tr103 - Correction in secondary equipment;Rework on legacy project;GER;11/06/26;In-House Refurbishment
159;Offer;New;1021-26_Rewind some Transformers delivered from Trento from LV = 21kV to LV=33kV_242027A/01_Work Order;Rewind some Transformers delivered from Trento from LV = 21kV to LV=33kV;RRL;24/06/26;In-House Repair
160;Offer;In Progress;AM26_XXX_Kuwait_N110793;Machbarkeit und Budgetstunden für Angebotserstellung Transviso;GER;31/07/26;Protection devices, wiring/cabling, cubicles, monitoring
161;Order;New;AM26_039KE_1.1_T213_dismantling and reassembly of a 300MVA Transformer for transportation_N112586_Work Order;dismantling and reassembly of a 300MVA Transformer for transportation;GER;01/12/26;On-site Repair
162;Offer;New;S.261624_SE_US_Vitra_windingtemp_SPA_LVO_1699212_66487;"Replacement of the current well temperature sensors (Qualitrol Series 103)
Installation instructions
need for replacing the assembly? -> different solution?

parts lists of the assembly is digitally available, but some components are no longer available or made by Andritz
";AT;09/07/26;Protection devices, wiring/cabling, cubicles, monitoring
163;Offer;In Progress;CS-D26-078_Plauen LV bushing_D421731_Work Order;"SNr D421731
air clearance LV-bushings to conservator is to close.
Provide solution incl. scetch to reach enough clearance. ";GER;10/07/26;Replacement of bushings, shield-electrodes and CT's
175;Order;New;EWN Rubenow_Sourcing of spare parts_581049_Work Order;Sourcing of spare parts as per internal order;GER;30/07/26;On-site Repair
176;Order;New;RWE_Sourcing Spareparts_581085_Work Order;Sourcing of Spareparts;GER;30/07/26;Uprating
177;Offer;New;BKW - AIM Mendrisio _Power Increasing 20 MVA to 25 MVA_Serial Number_CS-D26-063;"The transformer has to be checked to determine whether its rating can be increased from 20 MVA ONAN to 25 MVA ONAF.
If this is not possible, please advise the maximum achievable power rating under ONAF conditions.
In both cases, please also provide the required number of cooling fans.";GER;09/07/26;Uprating
178;Offer;New;VESTAS_Change_of_transformation_ratio_CS-D26-079_Work Order;Change_of_transformation_ratio;GER;16/07/26;On-site Refurbishment
180;Order;In Progress;581088_Design of new cable boxes (Sourcing from past project)_Serial Number_Work Order;"Design of new cable boxes
";GER;09/07/26;On-site Refurbishment
181;Order;New;581092_Construction of a ladder landing point_d581090_Work Order;"Construction of a ladder landing point
";GER;11/08/26;Uprating
182;Offer;New;S.261483 / WA 66407_S.261483 - Illwerke_Durchführungstausch_REP_MMA_1632330 und 1632331_Work Order;"Customer inquiry:
1. Mesh-dome transformer (200 MVA, ELIN, TDQ-365R27T9K-99), manufactured in 1999,
serial number 1690028
This transformer is equipped with Euromold connectors on System 4 (20 kV) (Euromold Series 200, Type
K180AR-2/J).
We would like to replace these with Pfisterer connectors, e.g., Pfisterer Connex single
angle connectors, size 1. These are installed in another power distribution transformer of the same type
(SIEMENS, TDQ-365R27T9K-99, manufactured in 2013).  
Do you know if this is possible and permissible? The Pfisterer connector with the
correct cone length would have to be used (A = 168)
Or are there still replacement plugs from Euromold that would fit?
For this transformer, we would also swap out the bushings from System 1 and System 2.
These bushings are all from HSP (SETFt ...).
Would it be advisable to use the same bushings (if available) from HSP
again in this case?

For other transformers, we have also used suitable bushings from Moser Glaser
in the past.  
A bushing replacement is also pending for three other 450 MVA transformers. To keep things
clear, however, I am referring here only to the 200 MVA power coupler mentioned above.
These projects are planned for 2028. Do you offer such services as part of your transformer maintenance program? That is, bushing replacement?

2. The serial numbers of our three 450 MVA grid-coupling transformers are as follows:
Two are from ELIN and are of the same type (TDQ-405R44D9K-99): 1632330 and 1632331
The third is from SCHORCH (now GE?): Type TC 2456E, 627150101
For these three transformers as well, we have installed the same Euromold connectors (Type K180AR-2/J)
on System 4.
And the bushings (Systems 1 and 2) are all from HSP (SOTF, SETF).
I first need to clarify internally and with the company how we will handle the maintenance of our transformers
here—that is, whether we will simply replace the bushings or focus more on monitoring.
We perform diagnostic measurements every 5 years.
Therefore, before you invest time in detailed planning or preparing a quote, a rough cost estimate would be
more than sufficient for us during the current decision-making and budgeting phase.
For budgeting purposes, a non-binding cost estimate for replacing the bushings would be very
helpful—specifically for replacing the bushings in Systems 1, 2, and 4 of the relevant
transformers.

";AT;02/08/26;On-site Refurbishment
